Additional data collected for market,,,,,,,
meta.instanceID,M-q705_cropShareAg,M-q706_cropSP,M-q707_cropAvgSP,M-q708_marketDistance,O-q801_newMgmtUse,uniqueid ,D-q420_cropSeedAmt
uuid:80d4fde2-1199-42f3-8f9b-e60f08a1c081,5,1290,1200,12,None,1,12
uuid:fbaf6938-0bd4-4ffb-8007-dffe74eceb58,0,1350,1100,10,None,2,10
uuid:5f4f7a49-6338-4b3c-a143-c6d0d990cf8f,0,1350,1100,10,None,3,3
uuid:41a254da-47b7-4069-853a-f627576ffaa4,0,1320,1100,10,None,4,4
uuid:c8160e93-16c2-445e-a144-461eb4195496,40,1200,1200,5,NutrientManagement CropEstablishment,5,10
uuid:590289c2-3474-4850-840f-681ac58374fc,0,1200,1200,5,NutrientManagement CropEstablishment,6,8
uuid:615e5199-3fa6-4079-a102-99dfda39e613,40,1200,1200,5,None,7,16
uuid:bd6ff9fd-adcd-4a3f-955a-4bca6e87fe56,30,1200,1200,5,CropEstablishment VarietyReplacement,8,20
uuid:5284ffc3-cec5-4c51-870d-72010d03f2b5,50,1200,1100,5,NutrientManagement VarietyReplacement,9,13
uuid:ed4c49a4-4ec6-484b-af23-01132da86af7,40,1200,1200,5,NutrientManagement CropEstablishment,10,30
uuid:bec14c90-78b5-45dc-b8a6-a476205eae9d,5,1550,1450,2,None,11,6
uuid:8d156160-43dc-45ab-9207-2e76b0567c17,40,1200,1200,5,NutrientManagement CropEstablishment,12,12
uuid:386df831-1386-441a-b8aa-459dcda25b47,30,1200,1200,3,NutrientManagement CropEstablishment,13,5
uuid:fbbbaf10-ec6c-4b18-b4e6-2f8c0d677ed3,30,1250,1000,12,NutrientManagement VarietyReplacement WeedManagement,14,6
uuid:38f143d0-68fd-4c1b-b4ba-cd5568249cd1,50,1425,1300,7,CropEstablishment,15,5
uuid:c6068c0e-0f33-40d7-b825-33444cc52a00,20,1100,1200,1,NutrientManagement CropEstablishment,16,6
uuid:54247fbc-070f-4e1d-b605-eedc46d28d86,20,1100,1000,1.5,NutrientManagement CropEstablishment,17,10
uuid:18ccb6c2-6c5f-4316-9b83-badd0687dcb5,30,1200,1100,4,CropEstablishment VarietyReplacement,18,6
uuid:22fe8599-b974-47a3-a0bf-90d41ed1b1bb,50,1700,1350,0,None,19,3
uuid:0576bd80-b4bb-47f6-86f4-1d2c418d1f2a,40,1750,1500,0,VarietyReplacement IrrigationManagement WeedManagement,20,2.5
uuid:3f94f788-e1e7-414a-9ca8-0a44a5914981,0,1600,1500,1,None,21,3.2
uuid:fa3e13c8-7a1f-4825-aa12-e74ba0e74f96,50,1600,1550,2,None,22,5
uuid:7394ce5d-adad-4e40-a7b8-481b438b47b6,0,1500,1350,5,None,23,3.6
uuid:c5ac444d-352b-4dca-981a-0060c219bb9a,50,1700,1400,0,VarietyReplacement WeedManagement,24,2.75
uuid:b25d8ef8-1168-4934-87b2-e05a93ef8d0c,20,1700,1450,0,None,25,3.5
uuid:d18724a7-80b9-4952-9658-aca51b4a3563,5,1300,1250,5,None,26,3
uuid:6faed6b7-ed16-46dc-8561-7abc9b85d27d,10,1400,1250,4,None,27,4
uuid:5b285581-a31f-4504-8e9b-3d94537d845f,20,1300,1300,10,None,28,1.2
uuid:6b668157-376f-41f0-9412-b9f6f3d81e46,40,1400,1300,10,None,29,1.6
uuid:439a3421-9081-407f-ace2-eb82fc07113d,20,1400,1340,10,WeedManagement,30,2.5
uuid:eb204199-7d63-474c-ac3a-8aa24e6b6f97,50,1350,1200,10,None,31,1
uuid:17a353c5-28b1-4a02-ac51-0c827c755851,50,1200,1250,10,None,32,1.4
uuid:b7a1dd97-883f-4ad6-a904-57006b6c7153,40,1350,1250,10,None,33,2
uuid:13fb633c-ef0c-49ad-aaf3-9fc0da1d52ab,40,1400,1250,10,None,34,1.5
uuid:374d81ed-cbf6-46b9-b556-6ce01a136204,30,1400,1100,4,VarietyReplacement,35,3
uuid:a7277868-ec82-4585-b64f-83bc5412ebb3,30,1400,1000,4,VarietyReplacement,36,2
uuid:0d701eb1-f92e-4c63-8125-88f7b9d5cc32,70,1400,1100,4.5,NutrientManagement VarietyReplacement WeedManagement,37,4
uuid:291133dc-e949-4e18-9ee3-b73de5902dc2,30,1400,1100,4,VarietyReplacement,38,3
uuid:18e0941f-541c-4a02-9528-cbae1ba52758,20,1400,1100,4.5,VarietyReplacement,39,2
uuid:5343888b-7b79-4692-b74f-e585d1ab86ea,20,1400,1000,4.5,VarietyReplacement,40,1.5
uuid:44bad655-1ae3-42d5-9f02-5c1e92104f95,70,1400,1100,8,NutrientManagement VarietyReplacement,41,4
uuid:ca767011-53af-45cd-928d-b4ef58715fd9,10,1500,1200,8,NutrientManagement,42,3
uuid:f1a570eb-d40a-4e4d-85df-295ab4aa40f1,60,1500,1200,8,VarietyReplacement,43,2
uuid:a15c1d77-e14e-471f-ae37-1280f6467f86,10,1500,1450,2,None,44,5
uuid:b37e6c43-b122-4dc7-90cc-6bbeeeac55c1,60,1600,1500,4,None,45,4
uuid:878f0dd1-9494-4522-bde4-4fc665f4fa0b,40,1600,1550,5,None,46,10
uuid:3ee56a4e-2202-448d-a648-3d91d2d7639b,5,1700,1450,2,None,47,4
uuid:7a252e08-8f97-4389-852e-651868c682fa,10,1500,1450,3.5,CropEstablishment,48,5
uuid:3458ae5d-0ff4-44ef-b3e0-bb0b67f2f321,20,1400,1470,2.5,None,49,11
uuid:e4b88c80-7dc0-4386-9ea2-d67023e6f655,0,1450,1500,4,None,50,3
uuid:1c7cc5ee-3b0d-4c89-a7d6-aad7b1cd50ec,5,1400,1250,4,None,51,1
