old,new
meta.instanceID,meta.instanceID
collectionDate,collectionDate
surveyConsent,surveyConsent
A-q101_country,country
A-q102_state,state
A-q103_district,district
A-q104_subDistrict,subDistrict
A-q105_village,village
A-q110_fName,fName
A-q111_fGender,fGender
A-q112_fEdu,fEdu
A-q113_aadharNum,aadharNum
A-q114_socialCategory,socialCategory
A-q115_mobile,mobile
A-q116_crop,crop
A-q117_season,season
A-q118_harvYear,harvYear
C-q301_LLU,LLU
C-q302_acreConv,acreConv
C-q303_cultLand,cultLand
C-q304_cropCultLand,cropCultLand
C-q305_cropLargestArea,cropLargestArea
C-q306_cropLarestAreaAcre,cropLarestAreaAcre
C-q307_largestPlotType,largestPlotType
D-q401_soilTexture,soilTexture
D-q402_drainClass,drainClass
D-q403_soilPerception,soilPerception
D-prevCrop,D-prevCrop
D-otherPrevCrop,D-otherPrevCrop
D-q404_prevCrop,prevCrop
D-prevCropTillage,D-prevCropTillage
D-otherPrevCropTillage,D-otherPrevCropTillage
D-q405_prevCropTillage,prevCropTillage
D-q406_prevCropHarvest,prevCropHarvest
D-q407_cropResiduePcnt,cropResiduePcnt
D-q408_residueBurnt,residueBurnt
D-q409_varType,varType
D-varName,D-varName
D-othervarName,D-othervarName
D-q410_varName,varName
D-q411_LandPrep,LandPrep
D-q412_RotUseYear,RotUseYear
D-cropEst,D-cropEst
D-otherEst,D-otherEst
D-q413_CropEst,CropEst
D-q414_rcNursEstDate,rcNursEstDate
D-q415_seedingSowingTransDate,seedingSowingTransDate
...47,...47
D-nursDetFactor,D-nursDetFactor
D-otherNursDetFactor,D-otherNursDetFactor
D-q418_nursDetFactor,nursDetFactor
D-q419_transDetFactor,transDetFactor
D-q420_cropSeedAmt,cropSeedAmt
...53,...53
D-q421_seedSource,seedSource
D-q422_otherSeedSource,otherSeedSource
E-q5105_statSHC,statSHC
E-q5101_FYM,FYM
E-q5102_typeFYM,typeFYM
E-q5103_amtFYM,amtFYM
...60,...60
E-q5104_applyMineralFert,applyMineralFert
F-basalFerts,F-basalFerts
F-q5202_basalDAP,basalDAP
F-q5203_basalNPK,basalNPK
F-q5204_basalUrea,basalUrea
F-q5205_basalNPKS,basalNPKS
F-q5206_basalMoP,basalMoP
F-q5207_basalSSP,basalSSP
F-q5208_basalTSP,basalTSP
F-q5209_basalZnSO4,basalZnSO4
